VTBB
coastLine
BANGKOKFIR
052757N1001407E
052833N1001748E
052831N1001750E
052318N1001938E
052339N1001936E
052410N1001958E
052416N1002012E
052422N1002016E
052439N1002019E
052448N1002029E
052446N1002034E
052447N1002036E
052448N1002038E
052502N1002041E
052516N1002043E
052519N1002033E
052841N1001555E
052851N1001538E
052850N1001515E
052803N1001424E
052754N1001414E
052524N1002012E
052527N1001955E
052541N1001923E
052547N1001916E
052753N1001211E
052806N1001206E
052811N1001147E
052816N1001136E
052815N1001114E
052839N1001109E
052836N1001050E
052833N1001036E
052213N1002233E
052137N1002300E
052111N1002320E
053251N1002129E
052953N1002231E
052818N1002245E
052341N1002149E
052340N1002149E
052338N1002149E
052331N1002156E
091957N1060727E
092520N1061026E
055227N1001941E
055236N1002001E
055242N1002014E
055246N1001951E
055253N1001935E
055242N1001922E
055232N1001907E
055226N1001907E
055225N1001916E
062411N1000718E
061955N1000922E
053943N1001933E
053939N1001939E
055355N1002126E
055337N1002127E
054847N1001743E
054846N1001729E
054840N1001731E
054832N1001744E
062356N1000720E
061405N1001312E
061315N1001406E
061314N1001407E
054617N1001708E
054610N1001701E
054608N1001701E
062744N1000402E
062743N1000413E
062757N1000425E
062702N1000352E
062710N1000351E
062646N1000337E
062644N1000344E
062340N1000742E
062250N1000816E
062218N1000827E
055240N1002018E
061516N1001142E
062539N1000526E
062550N1000526E
061240N1001430E
061114N1001522E
055855N1002047E
055824N1002100E
055100N1002147E
054953N1002157E
054924N1002204E
054827N1002203E
054749N1002203E
054722N1002202E
054617N1002200E
054452N1002136E
054318N1002122E
054301N1002117E
053957N1002142E
054000N1002107E
054021N1002038E
053956N1002023E
053939N1002000E
053927N1002001E
053917N1001958E
053833N1002024E
053441N1002024E
113841N1025421E
113827N1025453E
113758N1025459E
113739N1025503E
113745N1025514E
113718N1025552E
113618N1025619E
113619N1025720E
113540N1025730E
113430N1025840E
113334N1025909E
113341N1025730E
113244N1025709E
113030N1025857E
112724N1030051E
112725N1030050E
112623N1030053E
112558N1030047E
112607N1030026E
112602N1030017E
112537N1030046E
112516N1030109E
112527N1030112E
112552N1030325E
112514N1030431E
112410N1030518E
112236N1030516E
112037N1030643E
112103N1030747E
112045N1030813E
112013N1030811E
111937N1030830E
111816N1030648E
111710N1030432E
111419N1030353E
111319N1030359E
110854N1030641E
110449N1030553E
110427N1030548E
105727N1030553E
105431N1030654E
105235N1030708E
105147N1030845E
105154N1031003E
105213N1031103E
105249N1031210E
105418N1031346E
105524N1031601E
105413N1031914E
105202N1032117E
105242N1032327E
105712N1032441E
110359N1032655E
110553N1032636E
110837N1032843E
111001N1033315E
110530N1033546E
110417N1033930E
110031N1033949E
105951N1033928E
105420N1034220E
102835N1034442E
102811N1034429E
102641N1034626E
102724N1034750E
102733N1034751E
101539N1035600E
101442N1035646E
101302N1035724E
101126N1035751E
100504N1035912E
100250N1035930E
100206N1040009E
100118N1040030E
100049N1040031E
100055N1040054E
100103N1040115E
100046N1040146E
100058N1040213E
100036N1040236E
100017N1040307E
100045N1040245E
100103N1040224E
100154N1040149E
100222N1040213E
100250N1040207E
100337N1040229E
100414N1040228E
