VTBB,,,
VORDME,092206N,0991206E,BEVLA
VORDME,173908N,1024030E,BIGDI
VORDME,175640N,0993153E,BIGGY
VORDME,075336N,0991056E,BILEY
VORDME,161330N,1024560E,BILIL
VORDME,155355N,1033838E,BIMON
VORDME,164753N,0985337E,BINIX
VORDME,082659N,0992029E,BITEN
VORDME,173044N,1024759E,BIXAG
VORDME,140105N,1002258E,BLUES
VORDME,150907N,1022721E,BLUVY
VORDME,145649N,1023123E,BOANA
VORDME,154853N,1032127E,BODUR
VORDME,125736N,1022947E,BOKAK
VORDME,190434N,0982225E,BOKIB
VORDME,172305N,0980549E,BOMAS
VORDME,064855N,1004109E,BOMRI
VORDME,134343N,1003511E,BONDU
VORDME,134410N,0994607E,BONVO
VORDME,065118N,1004807E,BOODU
VORDME,162314N,1024350E,BOPLA
VORDME,175826N,1030052E,BOPNU
VORDME,162057N,0994139E,BORNO
VORDME,173359N,1025727E,BOTMU
VORDME,170740N,1014935E,BOVGO
VORDME,164842N,0994542E,BOWLY
VORDME,084208N,0994331E,BOYUN
VORDME,140757N,1003521E,BRENT
VORDME,135146N,1001924E,BROWN
VORDME,134704N,1005751E,BS101
VORDME,134128N,1010603E,BS102
VORDME,131910N,1005948E,BS103
VORDME,135650N,1004912E,BS104
VORDME,141814N,1005446E,BS105
VORDME,142726N,1005711E,BS106
VORDME,142219N,1003910E,BS107
VORDME,140358N,1004153E,BS108
VORDME,140533N,1003128E,BS117
VORDME,140711N,1002042E,BS118
VORDME,133351N,1004845E,BS401
VORDME,134230N,1003923E,BS402
VORDME,133202N,1005542E,BS403
VORDME,135525N,1004248E,BS404
VORDME,132505N,1005348E,BS405
VORDME,140627N,1004543E,BS406
VORDME,135921N,1005545E,BS407
VORDME,141355N,1004454E,BS408
VORDME,133420N,1004231E,BS480
VORDME,133421N,1004231E,BS488
VORDME,133327N,1004333E,BS490
VORDME,133530N,1004405E,BS491
VORDME,134229N,1004555E,BS492
VORDME,133533N,1004406E,BS497
VORDME,133328N,1004333E,BS499
VORDME,135450N,1005430E,BS501
VORDME,135744N,1004325E,BS502
VORDME,135002N,1005311E,BS503
VORDME,135933N,1003628E,BS504
VORDME,134813N,1010008E,BS505
VORDME,140422N,1003744E,BS506
VORDME,135301N,1010127E,BS507
VORDME,141501N,1004032E,BS508
VORDME,142006N,1002021E,BS510
VORDME,143437N,1004058E,BS512
VORDME,134810N,1004609E,BS580
VORDME,133932N,1004353E,BS581
VORDME,134809N,1004609E,BS588
VORDME,134727N,1004713E,BS590
VORDME,133855N,1004459E,BS591
VORDME,134726N,1004713E,BS599
VORDME,133040N,1004753E,BS901
VORDME,133101N,1005351E,BS902
VORDME,132848N,1004215E,BS903
VORDME,131608N,1004511E,BS904
VORDME,131455N,1004045E,BS905
VORDME,133114N,1004004E,BS907
VORDME,132534N,1003023E,BS908
VORDME,133240N,1003417E,BS909
VORDME,134136N,1003431E,BS910
VORDME,134923N,1003443E,BS911
VORDME,134605N,1004243E,BS912
VORDME,141908N,1005118E,BS914
VORDME,133114N,1011233E,BS915
VORDME,122845N,1010314E,BU036
VORDME,124143N,1010023E,BU181
VORDME,124644N,1010047E,BU182
VORDME,170933N,1025849E,BUGDU
VORDME,183420N,0992016E,BUNDY
VORDME,180544N,0994606E,BUNMA
VORDME,074741N,0990446E,BURSO
VORDME,123411N,1005945E,BUSNO
VORDME,152506N,1053546E,BUTRA
VORDME,114342N,0994540E,BUXEL
VORDME,083560N,0995159E,BUZKE
VORDME,164619N,1024704E,CARAT
VORDME,145201N,1022220E,CAROY
VORDME,185152N,0985954E,CC004
VORDME,184651N,0985755E,CC009
VORDME,185356N,0985952E,CC082
VORDME,185745N,0990054E,CC083
VORDME,181923N,0991547E,CC101
VORDME,182432N,0991738E,CC102
VORDME,183125N,0991614E,CC103
VORDME,183409N,0985746E,CC104
VORDME,183910N,0985746E,CC105
VORDME,184411N,0985746E,CC106
VORDME,184705N,0990509E,CC111
VORDME,184704N,0991114E,CC112
VORDME,184702N,0991920E,CC113
VORDME,183203N,0992819E,CC114
VORDME,182420N,0991944E,CC115
VORDME,181819N,0991734E,CC116
VORDME,181218N,0990916E,CC117
VORDME,184652N,0985747E,CC180
VORDME,185412N,0985748E,CC181
VORDME,185153N,0985747E,CC201
VORDME,185810N,0985748E,CC202
VORDME,185809N,0990511E,CC203
VORDME,185152N,0990510E,CC204
VORDME,184003N,0990508E,CC205
VORDME,183307N,0990507E,CC206
VORDME,184001N,0991432E,CC207
VORDME,184400N,0992741E,CC208
VORDME,183105N,0991525E,CC209
VORDME,182920N,0991451E,CC210
VORDME,181653N,0985548E,CC211
VORDME,185809N,0984612E,CC212
VORDME,190234N,0984709E,CC213
VORDME,190326N,0990800E,CC214
VORDME,184323N,0985746E,CC361
VORDME,183803N,0985745E,CC362
VORDME,184323N,0985741E,CC363
VORDME,183802N,0985742E,CC364
VORDME,183149N,0992213E,CC501
VORDME,182943N,0992059E,CC502
VORDME,182602N,0991529E,CC503
VORDME,182539N,0991133E,CC504
VORDME,182553N,0991004E,CC505
VORDME,182730N,0990620E,CC506
VORDME,182747N,0990557E,CC507
VORDME,185703N,0991957E,CC511
VORDME,184707N,0992717E,CC512
VORDME,184707N,0991955E,CC513
VORDME,184123N,0990508E,CC514
VORDME,184122N,0991231E,CC515
VORDME,184010N,0985746E,CC601
VORDME,183308N,0985744E,CC602
VORDME,183007N,0985744E,CC603
VORDME,181741N,0985317E,CC604
VORDME,183808N,0990508E,CC612
VORDME,184510N,0990509E,CC613
VORDME,185540N,0990511E,CC614
VORDME,190031N,0990857E,CC615
VORDME,185929N,0985525E,CC616
VORDME,185633N,0985440E,CC617
VORDME,184009N,0990508E,CC621
VORDME,184007N,0991230E,CC622
VORDME,184005N,0991953E,CC623
VORDME,184010N,0985235E,CC631
VORDME,185131N,0984713E,CC632
VORDME,185446N,0984105E,CC633
VORDME,185737N,0984420E,CC634
VORDME,083227N,1001240E,CENLO
VORDME,124902N,1000736E,CHANG
VORDME,081456N,1000138E,CHARY
VORDME,152104N,1043902E,CHETA
VORDME,082151N,0995534E,CHIKA
VORDME,171343N,1043518E,CHUCA
VORDME,081409N,0983253E,CIDER
VORDME,144738N,1021617E,CIEGO
VORDME,183932N,1004328E,CN001
VORDME,184515N,1004543E,CN002
VORDME,184801N,1004649E,CN004
VORDME,184510N,1004538E,CN101
VORDME,183425N,1005660E,CN102
VORDME,184000N,1003127E,CN103
VORDME,184817N,1003325E,CN201
VORDME,184314N,1005827E,CN202
VORDME,190155N,1004535E,CN203
VORDME,185505N,1004938E,CN204
VORDME,185340N,1004904E,CN205
VORDME,184859N,1004712E,CN206
VORDME,190523N,1004403E,CN301
VORDME,185341N,1004901E,CN302
VORDME,124854N,1011249E,COBAR
VORDME,134205N,1001137E,CORUS
VORDME,195622N,0995239E,CT031
VORDME,195013N,0994840E,CT032
VORDME,195626N,0995234E,CT033
VORDME,195006N,0994851E,CT034
VORDME,195149N,0995821E,CT035
VORDME,195748N,0995330E,CT211
VORDME,200040N,0995503E,CT212
VORDME,200304N,0995621E,CT213
VORDME,195751N,0995324E,CT214
VORDME,200029N,0995456E,CT215
VORDME,200302N,0995626E,CT216
